Key.shift_r		1539874869.733891
'H'		1539874869.755449
'e'		1539874869.9953861
'j'		1539874870.083864
Key.space		1539874870.938796
Key.shift_r		1539874871.090726
'J'		1539874871.178758
'a'		1539874871.339335
'c'		1539874871.5873952
'o'		1539874871.667495
'b'		1539874871.786912
Key.space		1539874872.0114272
'v'		1539874872.618798
'a'		1539874872.8115141
'd'		1539874872.89891
Key.space		1539874873.130769
's'		1539874873.827317
'k'		1539874873.8911302
'a'		1539874874.019139
Key.space		1539874874.147083
'd'		1539874874.315111
'u'		1539874874.446248
Key.space		1539874876.45918
'h'		1539874876.834659
'i'		1539874876.9146261
't'		1539874877.034695
't'		1539874877.1947231
'a'		1539874877.40291
Key.space		1539874877.522487
'p'		1539874882.0918882
Key.space		1539874882.564401
's'		1539874882.7646022
'e'		1539874882.884374
'n'		1539874882.95646
Key.shift_r		1539874883.24672
Key.shift_r		1539874883.972019
'+'		1539874884.099731
Key.enter		1539874885.11629
Key.esc		1539874885.9318342
Key.shift_r		1539874975.523097
Key.shift_r		1539874977.355089
Key.shift_r		1539874979.0712519
Key.shift_r		1539874984.074969
Key.shift_r		1539874984.858227
Key.shift_r		1539874985.868075
